"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 10:31:49 CST 2023","Tue Apr 04 10:31:49 CST 2023","17","testcase","test_excel_case","TestExcelCase","","","用例id:id-002;用例名称:登录alan2;","请求方法:post; 请求url:http://127.0.0.1:5000/login; 预期结果：用户名或密码错误;"
"passed","Tue Apr 04 10:31:49 CST 2023","Tue Apr 04 10:31:49 CST 2023","14","testcase","test_excel_case","TestExcelCase","","","用例id:id-001;用例名称:登录alan1;","请求方法:post; 请求url:http://127.0.0.1:5000/login; 预期结果：登录成功;"
